Opp,Position_Filter,Points_Diff_Avg,Points_Diff_Std,Rebounds_Diff_Avg,Rebounds_Diff_Std,Assists_Diff_Avg,Assists_Diff_Std,Steals_Diff_Avg,Steals_Diff_Std,Blocks_Diff_Avg,Blocks_Diff_Std
ATL,C,1.3656666666666668,4.978063281211483,-0.014476190476190531,2.646243188245908,0.17114285714285712,1.4111420327999211,0.16438095238095238,0.7762882672840692,-0.1924285714285714,0.7803564247572156
ATL,F,1.2098051948051949,5.9120895619082905,0.6704155844155845,3.515760003003357,0.41149350649350647,1.894101326321646,-0.021584415584415605,0.8576028710495615,0.026155844155844155,0.6402494454007561
ATL,G,1.7695454545454545,6.516223947253668,-0.020030303030303016,2.032512693088674,0.33402020202020205,2.402159718404085,-0.12026262626262625,0.90904378205569,-0.1350808080808081,0.49962170895179553
BOS,C,2.8372307692307692,5.668625591851319,0.2323846153846154,2.410725554314479,0.2762307692307692,1.6318718677945914,-0.12184615384615385,0.5834532274647671,-0.7224615384615386,0.7440117984367034
BOS,F,1.302855072463768,5.706589410815684,0.041637681159420244,2.16062800164181,-0.295768115942029,1.428564833132073,-0.037753623188405784,0.7889674669694231,-0.045101449275362304,0.6808269725265288
BOS,G,-0.23779090909090908,6.398483752343852,0.08223636363636368,2.04883493246671,-0.0612090909090908,2.1514436341271983,-0.17206363636363636,1.0529590536567346,0.06082727272727274,0.5462597427313545
BRK,C,0.523125,5.828638758410206,1.2493333333333334,3.7398815563538315,-0.511125,1.0731859621589355,-0.19216666666666668,0.6673731256867398,-0.0902083333333333,1.2688864533902247
BRK,F,-1.0790571428571427,6.038223527509003,0.08328571428571421,2.600435942259666,0.09671428571428563,1.7828591174439616,-0.0014999999999999426,0.8940563061527101,-0.11451428571428574,0.7034525213515966
BRK,G,-0.19501123595505612,7.612619135422272,-0.16013483146067417,1.9139814681632012,-0.7248314606741574,2.1081837181735428,-0.10898876404494383,0.8720851609582867,-0.0022696629213483114,0.5185077500216083
CHI,C,0.17408695652173933,6.071010165303726,-0.6015652173913046,2.4971372274473054,0.5439565217391304,1.5194816186495934,-0.04947826086956525,0.556252044026745,-0.2586956521739131,0.77519340839295
CHI,F,-0.07833333333333325,6.7683318489192015,0.05411538461538455,2.323255860721909,0.30674358974358973,1.4840981240962767,-0.10312820512820518,0.8286386172043995,-0.10206410256410255,0.7240154294244753
CHI,G,-0.8647685185185189,9.253540186014979,0.18230555555555553,1.813207463249573,0.4827777777777778,2.239239455597854,-0.10101851851851851,1.1201879387743752,-0.07451851851851853,0.4641436655278805
CHO,C,1.5871923076923076,5.932330992238994,1.1578076923076923,3.529453052192809,0.5033461538461539,1.2349617852171562,-0.10073076923076926,0.6138215449568828,0.020038461538461554,1.2347102893070543
CHO,F,0.5027272727272729,6.3537264669270215,-0.0680681818181818,2.7432040854522928,-0.05530681818181815,1.7890380309868064,-0.3050227272727272,0.6387746255219785,-0.06264772727272727,0.7910363174022923
CHO,G,0.02764210526315787,6.6949745330529185,0.44083157894736846,2.1758222095161686,0.5248631578947368,2.576187307715053,-0.018863157894736835,0.8378266823724887,0.16456842105263156,0.8656314963215136
CLE,C,-1.5896296296296297,4.22921033823668,0.3651481481481482,3.7119105263772054,-0.19577777777777777,1.05978115607206,0.12459259259259259,1.0535124059899628,-0.04085185185185184,1.2071567667596483
CLE,F,0.13813235294117654,6.2498310021961485,-0.1588823529411764,2.728059909260079,-0.24838235294117647,1.5273245064241834,-0.05360294117647054,0.8831324286096269,-0.15244117647058825,0.6634193151516339
CLE,G,0.3261354166666665,6.674298824938766,-0.4736354166666666,1.9224102174516047,0.013520833333333334,2.645454202413259,-0.19373958333333333,0.7949346441268991,-0.11795833333333335,0.4858098461303787
DAL,C,-1.1444,4.119235233227967,-0.5254000000000001,1.527837111736719,0.015999999999999983,1.1550662895839934,-0.12813333333333338,0.5056167015525583,-0.15759999999999996,0.6422631651693357
DAL,F,0.9388815789473682,6.792880144462221,-0.229842105263158,2.653865096185837,-0.18532894736842107,1.6465411065253852,-0.06297368421052632,0.8164348843356161,-0.2118289473684211,0.5434746977153461
DAL,G,-0.7703404255319146,6.58132893446946,0.1523723404255319,1.9193924846937318,0.22530851063829785,2.266447501523389,-0.14882978723404247,0.9408201338295774,0.023340425531914885,0.7406947795488251
DEN,C,-1.1070666666666658,5.6563341422593565,-1.7211333333333338,3.7122854392169553,-0.6121333333333332,0.8513687698184743,-0.037866666666666715,0.7171880150203912,-0.1855333333333333,0.8383575901063274
DEN,F,-0.6390405405405405,4.797664869606793,-0.4351216216216217,2.355748340117199,-0.22416216216216217,1.712206952847438,-0.0161351351351351,0.8898445100177703,-0.1806756756756757,0.47096020684910767
DEN,G,-2.4308198198198196,6.143062205841026,-0.9946126126126125,1.8449916534451758,0.5777477477477477,3.022916152078143,-0.25609909909909906,0.8427654815226091,-0.14408108108108106,0.4597432525777003
DET,C,1.132304347826087,4.8826450105119,0.5883478260869566,2.4962465320120586,-0.09991304347826091,1.3013201628929012,0.12317391304347827,0.8963035031473733,0.08943478260869565,1.1709518545810036
DET,F,1.2868571428571431,6.6551941589917245,-0.13764285714285707,2.3308198621068588,-0.19475714285714274,1.7121471184761323,-0.01825714285714288,0.9060444278875746,0.10627142857142856,0.7355401886937746
DET,G,1.2765,7.717381082945935,-0.572892156862745,1.8719884987227484,-0.028607843137254948,2.7933574820784366,0.11752941176470584,1.1056029825472167,0.013500000000000019,0.6231947379211004
