Opp,Position_Filter,Points_Diff_Avg,Points_Diff_Std,Points_Diff_Cv,Rebounds_Diff_Avg,Rebounds_Diff_Std,Rebounds_Diff_Cv,Assists_Diff_Avg,Assists_Diff_Std,Assists_Diff_Cv,Steals_Diff_Avg,Steals_Diff_Std,Steals_Diff_Cv,Blocks_Diff_Avg,Blocks_Diff_Std,Blocks_Diff_Cv
ATL,C,1.3656666666666668,4.978063281211483,3.6451525124809487,-0.0144761904761905,2.646243188245908,-182.7996939248815,0.1711428571428571,1.4111420327999211,8.245404198330093,0.1643809523809523,0.7762882672840692,4.7224952528868664,-0.1924285714285714,0.7803564247572156,-4.055304360282487
ATL,F,1.2098051948051949,5.9120895619082905,4.88681118852384,0.6704155844155845,3.515760003003357,5.244150173012639,0.4114935064935064,1.894101326321646,4.602992019149969,-0.0215844155844156,0.8576028710495615,-39.73250365271732,0.0261558441558441,0.6402494454007561,24.478255856930648
ATL,G,1.7695454545454543,6.516223947253668,3.682428123287457,-0.020030303030303,2.032512693088674,-101.47188936751338,0.334020202020202,2.402159718404085,7.191659977077671,-0.1202626262626262,0.90904378205569,-7.558821974089817,-0.1350808080808081,0.4996217089517955,-3.6986875933767847
BOS,C,2.837230769230769,5.668625591851319,1.9979430835610876,0.2323846153846154,2.410725554314479,10.373860379373792,0.2762307692307692,1.6318718677945914,5.907639733035279,-0.1218461538461538,0.5834532274647671,-4.788441892071955,-0.7224615384615386,0.7440117984367034,-1.0298289373591505
BOS,F,1.302855072463768,5.706589410815684,4.380064622248598,0.0416376811594202,2.16062800164181,51.891170244791226,-0.295768115942029,1.428564833132073,-4.830016340950266,-0.0377536231884057,0.7889674669694231,-20.897794710514525,-0.0451014492753623,0.6808269725265288,-15.095456653062502
BOS,G,-0.237790909090909,6.398483752343852,-26.908025108300798,0.0822363636363636,2.04883493246671,24.91397773284747,-0.0612090909090908,2.1514436341271983,-35.14908655190735,-0.1720636363636363,1.0529590536567346,-6.119590843886556,0.0608272727272727,0.5462597427313545,8.980506904864598
BRK,C,0.523125,5.828638758410206,11.141961784296692,1.2493333333333334,3.739881556353832,2.9935017793653937,-0.511125,1.0731859621589357,-2.0996546092617963,-0.1921666666666666,0.6673731256867398,-3.4728870373984737,-0.0902083333333333,1.2688864533902249,-14.06617777430273
BRK,F,-1.0790571428571427,6.038223527509003,-5.595832961654755,0.0832857142857142,2.600435942259666,31.22307306315211,0.0967142857142856,1.7828591174439616,18.434289249789877,-0.0014999999999999,0.8940563061527101,-596.0375374351798,-0.1145142857142857,0.7034525213515966,-6.142923714397677
BRK,G,-0.1950112359550561,7.612619135422272,-39.036823176571936,-0.1601348314606741,1.9139814681632008,-11.952312002983788,-0.7248314606741574,2.1081837181735428,-2.9085157482164825,-0.1089887640449438,0.8720851609582867,-8.001606116009023,-0.0022696629213483,0.5185077500216083,-228.45143441546256
CHI,C,0.1740869565217393,6.071010165303726,34.87343501548091,-0.6015652173913046,2.4971372274473054,-4.15106650992252,0.5439565217391304,1.5194816186495934,2.7933879968779993,-0.0494782608695652,0.556252044026745,-11.24235238366884,-0.2586956521739131,0.77519340839295,-2.996545948409722
CHI,F,-0.0783333333333332,6.7683318489192015,-86.40423636918145,0.0541153846153845,2.323255860721909,42.93152265726351,0.3067435897435897,1.4840981240962767,4.83823680011325,-0.1031282051282051,0.8286386172043995,-8.035033831668718,-0.1020641025641025,0.7240154294244753,-7.093732382252117
CHI,G,-0.8647685185185189,9.25354018601498,-10.700597891638926,0.1823055555555555,1.813207463249573,9.945980295137078,0.4827777777777778,2.239239455597854,4.638240529431688,-0.1010185185185185,1.1201879387743752,-11.088936515823331,-0.0745185185185185,0.4641436655278805,-6.228568076169372
CHO,C,1.5871923076923076,5.932330992238994,3.737625846274599,1.1578076923076923,3.529453052192809,3.048393162044083,0.5033461538461539,1.2349617852171562,2.4535039669630976,-0.1007307692307692,0.6138215449568828,-6.093684676929728,0.0200384615384615,1.2347102893070545,61.61702019574564
CHO,F,0.5027272727272729,6.3537264669270215,12.638515576165862,-0.0680681818181818,2.7432040854522928,-40.300827966577934,-0.0553068181818181,1.7890380309868064,-32.34751319639186,-0.3050227272727272,0.6387746255219785,-2.094186984797486,-0.0626477272727272,0.7910363174022923,-12.62673606591725
CHO,G,0.0276421052631578,6.694974533052919,242.2020489870638,0.4408315789473684,2.175822209516169,4.935722197379022,0.5248631578947368,2.576187307715053,4.908302800387671,-0.0188631578947368,0.8378266823724887,-44.416035058809484,0.1645684210526315,0.8656314963215136,5.260009732029157
CLE,C,-1.5896296296296295,4.22921033823668,-2.6605004457686476,0.3651481481481482,3.711910526377205,10.1654918563936,-0.1957777777777777,1.05978115607206,-5.413184111605303,0.1245925925925925,1.0535124059899628,8.455658430953928,-0.0408518518518518,1.2071567667596483,-29.549621670453806
CLE,F,0.1381323529411765,6.2498310021961485,45.2452366815009,-0.1588823529411764,2.728059909260079,-17.170314127146007,-0.2483823529411764,1.5273245064241834,-6.1490862307190355,-0.0536029411764705,0.8831324286096269,-16.475447227833946,-0.1524411764705882,0.6634193151516339,-4.3519692678285855
CLE,G,0.3261354166666665,6.674298824938766,20.464808431892486,-0.4736354166666666,1.922410217451605,-4.058839668243289,0.0135208333333333,2.645454202413259,195.65762976246032,-0.1937395833333333,0.7949346441268991,-4.1031090830787855,-0.1179583333333333,0.4858098461303787,-4.11848686228509
