Player,Tm,PTS,Points_Running_Avg,player_points_line,Date,Place,Opp,TRB,AST,Rebounds_Running_Avg,Assists_Running_Avg,player_assists_line,player_rebounds_line
Saddiq Bey,ATL,15,13.083,13.5,2024-01-10,,PHI,10.0,1.0,6.958,1.333,,6.5
Saddiq Bey,ATL,17,13.24,13.5,2024-01-12,,IND,4.0,2.0,6.84,1.36,,6.5
Saddiq Bey,ATL,16,13.346,13.5,2024-01-13,,WAS,7.0,0.0,6.846,1.308,,6.5
Saddiq Bey,ATL,10,13.222,15.5,2024-01-15,,SAS,5.0,2.0,6.778,1.333,,7.5
Saddiq Bey,ATL,7,13.0,12.5,2024-01-17,,ORL,4.0,0.0,6.679,1.286,,5.5
Saddiq Bey,ATL,13,12.613,14.5,2024-01-22,Away,SAC,7.0,2.0,6.548,1.29,,5.5
Saddiq Bey,ATL,18,12.781,13.5,2024-01-24,Away,GSW,7.0,3.0,6.562,1.344,,5.5
Saddiq Bey,ATL,26,13.265,13.5,2024-01-28,,TOR,13.0,3.0,6.765,1.5,,6.5
De'Andre Hunter,ATL,11,14.917,14.5,2023-12-20,Away,HOU,1.0,3.0,4.083,1.375,,4.5
Clint Capela,ATL,15,11.808,13.5,2023-12-20,Away,HOU,9.0,2.0,10.654,1.154,,11.5
Clint Capela,ATL,8,11.667,12.5,2023-12-22,Away,MIA,10.0,0.0,10.63,1.111,,9.5
Clint Capela,ATL,20,11.964,10.5,2023-12-23,,MEM,12.0,1.0,10.679,1.107,,10.5
Clint Capela,ATL,13,12.0,13.5,2023-12-26,Away,CHI,5.0,1.0,10.483,1.103,,10.5
Clint Capela,ATL,12,12.0,12.5,2023-12-29,,SAC,12.0,3.0,10.533,1.167,,10.5
Clint Capela,ATL,11,11.968,14.5,2023-12-31,Away,WAS,17.0,3.0,10.742,1.226,,12.5
Clint Capela,ATL,12,11.969,12.5,2024-01-03,,OKC,14.0,0.0,10.844,1.188,,10.5
Clint Capela,ATL,9,11.879,12.5,2024-01-05,Away,IND,7.0,0.0,10.727,1.152,,10.5
Clint Capela,ATL,4,11.647,11.5,2024-01-07,Away,ORL,12.0,0.0,10.765,1.118,,10.5
Clint Capela,ATL,7,11.514,12.5,2024-01-12,,IND,5.0,1.0,10.6,1.114,,10.5
Clint Capela,ATL,4,11.306,12.5,2024-01-13,,WAS,8.0,0.0,10.528,1.083,,10.5
Clint Capela,ATL,13,11.351,11.5,2024-01-15,,SAS,12.0,0.0,10.568,1.054,,10.5
Clint Capela,ATL,12,11.368,10.5,2024-01-17,,ORL,3.0,0.0,10.368,1.026,,8.5
Clint Capela,ATL,11,11.171,11.5,2024-01-22,Away,SAC,12.0,1.0,10.39,0.976,,8.5
Clint Capela,ATL,11,11.167,11.5,2024-01-24,Away,GSW,11.0,1.0,10.405,0.976,,9.5
Clint Capela,ATL,10,11.14,11.5,2024-01-26,,DAL,8.0,2.0,10.349,1.0,,9.5
Clint Capela,ATL,19,11.318,11.5,2024-01-28,,TOR,14.0,0.0,10.432,0.977,,9.5
Clint Capela,ATL,13,11.356,11.5,2024-01-30,,LAL,12.0,1.0,10.467,0.978,,9.5
Jayson Tatum,BOS,15,26.808,28.5,2023-12-19,Away,GSW,8.0,7.0,8.692,4.231,4.5,9.5
Jayson Tatum,BOS,30,26.926,29.5,2023-12-23,Away,LAC,4.0,2.0,8.519,4.148,3.5,9.5
Jayson Tatum,BOS,25,26.857,28.5,2023-12-25,Away,LAL,8.0,7.0,8.5,4.25,4.5,8.5
Jayson Tatum,BOS,31,27.0,27.5,2023-12-28,,DET,7.0,10.0,8.448,4.448,4.5,8.5
Jayson Tatum,BOS,25,26.933,26.5,2023-12-31,Away,SAS,6.0,2.0,8.367,4.367,4.5,8.5
Jayson Tatum,BOS,30,27.032,26.5,2024-01-02,Away,OKC,13.0,8.0,8.516,4.484,4.5,8.5
Jayson Tatum,BOS,30,27.125,26.5,2024-01-05,,UTA,9.0,5.0,8.531,4.5,4.5,8.5
Jayson Tatum,BOS,38,27.455,27.5,2024-01-06,Away,IND,13.0,6.0,8.667,4.545,4.5,8.5
Jayson Tatum,BOS,45,27.971,25.5,2024-01-10,,MIN,4.0,2.0,8.529,4.471,4.5,8.5
Jayson Tatum,BOS,27,27.361,26.5,2024-01-13,,HOU,8.0,5.0,8.306,4.444,4.5,8.5
Jayson Tatum,BOS,19,27.135,28.5,2024-01-15,Away,TOR,14.0,6.0,8.459,4.486,4.5,8.5
Jayson Tatum,BOS,24,27.053,27.5,2024-01-17,,SAS,5.0,2.0,8.368,4.421,5.5,8.5
Jayson Tatum,BOS,22,26.923,27.5,2024-01-19,,DEN,8.0,5.0,8.359,4.436,4.5,8.5
Jayson Tatum,BOS,26,26.976,26.5,2024-01-25,Away,MIA,8.0,4.0,8.381,4.405,4.5,8.5
Jayson Tatum,BOS,21,26.837,29.5,2024-01-27,,LAC,11.0,1.0,8.442,4.326,4.5,7.5
Jayson Tatum,BOS,28,26.864,28.5,2024-01-29,,NOP,10.0,8.0,8.477,4.409,4.5,8.5
Jayson Tatum,BOS,30,26.933,29.5,2024-01-30,,IND,7.0,7.0,8.444,4.467,4.5,9.5
Jrue Holiday,BOS,13,12.292,12.5,2023-12-19,Away,GSW,7.0,1.0,6.625,4.458,4.5,5.5
Jrue Holiday,BOS,18,13.111,12.5,2023-12-25,Away,LAL,7.0,7.0,6.667,4.852,4.5,5.5
Jrue Holiday,BOS,7,12.933,12.5,2024-01-02,Away,OKC,5.0,7.0,6.533,4.8,4.5,6.5
Jrue Holiday,BOS,14,12.968,12.5,2024-01-05,,UTA,6.0,1.0,6.516,4.677,5.5,5.5
Jrue Holiday,BOS,8,12.812,13.5,2024-01-06,Away,IND,6.0,5.0,6.5,4.688,4.5,5.5
Jrue Holiday,BOS,11,12.778,12.5,2024-01-13,,HOU,6.0,3.0,6.361,4.583,4.5,5.5
Jrue Holiday,BOS,7,13.103,13.5,2024-01-19,,DEN,2.0,3.0,6.179,4.59,4.5,5.5
Jrue Holiday,BOS,17,13.293,11.5,2024-01-25,Away,MIA,5.0,5.0,6.171,4.634,4.5,5.5
