Player,Tm,PTS,Points_Running_Avg,player_points_line,Date,Place,Opp
Trae Young,ATL,30,28.2,30.5,2023-12-20,Away,HOU
Trae Young,ATL,30,28.269,27.5,2023-12-22,Away,MIA
Trae Young,ATL,30,28.333,30.5,2023-12-23,,MEM
Trae Young,ATL,21,28.071,28.5,2023-12-26,Away,CHI
Trae Young,ATL,24,27.931,28.5,2023-12-29,,SAC
Trae Young,ATL,40,28.333,28.5,2023-12-31,Away,WAS
Trae Young,ATL,24,28.194,27.5,2024-01-03,,OKC
Trae Young,ATL,13,27.719,28.5,2024-01-05,Away,IND
Trae Young,ATL,31,27.818,25.5,2024-01-07,Away,ORL
Trae Young,ATL,28,27.824,27.5,2024-01-10,,PHI
Trae Young,ATL,13,27.4,28.5,2024-01-12,,IND
Trae Young,ATL,21,27.222,29.5,2024-01-13,,WAS
Trae Young,ATL,36,27.459,29.5,2024-01-15,,SAS
Trae Young,ATL,18,27.211,27.5,2024-01-17,,ORL
Trae Young,ATL,30,26.975,25.5,2024-01-26,,DAL
Trae Young,ATL,30,27.049,25.5,2024-01-28,,TOR
Dejounte Murray,ATL,21,20.0,18.5,2023-12-20,Away,HOU
Dejounte Murray,ATL,24,20.143,18.5,2023-12-22,Away,MIA
Dejounte Murray,ATL,26,20.345,19.5,2023-12-23,,MEM
Dejounte Murray,ATL,18,20.161,20.5,2023-12-29,,SAC
Dejounte Murray,ATL,32,20.531,21.5,2023-12-31,Away,WAS
Dejounte Murray,ATL,22,20.576,19.5,2024-01-03,,OKC
Dejounte Murray,ATL,30,20.853,21.5,2024-01-05,Away,IND
Dejounte Murray,ATL,24,20.943,20.5,2024-01-07,Away,ORL
Dejounte Murray,ATL,25,21.056,22.5,2024-01-10,,PHI
Dejounte Murray,ATL,29,21.27,23.5,2024-01-12,,IND
Dejounte Murray,ATL,13,21.053,23.5,2024-01-13,,WAS
Dejounte Murray,ATL,13,20.846,23.5,2024-01-15,,SAS
Dejounte Murray,ATL,26,20.975,20.5,2024-01-17,,ORL
Dejounte Murray,ATL,35,21.395,24.5,2024-01-22,Away,SAC
Dejounte Murray,ATL,23,21.432,26.5,2024-01-24,Away,GSW
Dejounte Murray,ATL,24,21.5,21.5,2024-01-30,,LAL
Jalen Johnson,ATL,16,14.143,11.5,2023-12-29,,SAC
Jalen Johnson,ATL,24,14.8,16.5,2023-12-31,Away,WAS
Jalen Johnson,ATL,28,15.625,15.5,2024-01-03,,OKC
Jalen Johnson,ATL,12,15.412,17.5,2024-01-05,Away,IND
Jalen Johnson,ATL,12,15.222,16.5,2024-01-07,Away,ORL
Jalen Johnson,ATL,25,15.737,15.5,2024-01-10,,PHI
Jalen Johnson,ATL,16,15.75,16.5,2024-01-12,,IND
Jalen Johnson,ATL,5,15.238,16.5,2024-01-13,,WAS
Jalen Johnson,ATL,16,15.273,14.5,2024-01-15,,SAS
Jalen Johnson,ATL,10,15.043,14.5,2024-01-17,,ORL
Jalen Johnson,ATL,11,15.077,17.5,2024-01-22,Away,SAC
Jalen Johnson,ATL,21,15.296,17.5,2024-01-24,Away,GSW
Jalen Johnson,ATL,17,15.69,16.5,2024-01-28,,TOR
Saddiq Bey,ATL,9,13.0,14.5,2023-12-20,Away,HOU
Saddiq Bey,ATL,16,13.188,12.5,2023-12-22,Away,MIA
Saddiq Bey,ATL,14,13.235,13.5,2023-12-23,,MEM
Saddiq Bey,ATL,15,13.316,13.5,2023-12-29,,SAC
Saddiq Bey,ATL,11,13.2,15.5,2023-12-31,Away,WAS
Saddiq Bey,ATL,10,13.048,13.5,2024-01-03,,OKC
Saddiq Bey,ATL,9,12.864,13.5,2024-01-05,Away,IND
Saddiq Bey,ATL,16,13.0,12.5,2024-01-07,Away,ORL
Saddiq Bey,ATL,15,13.083,13.5,2024-01-10,,PHI
Saddiq Bey,ATL,17,13.24,13.5,2024-01-12,,IND
Saddiq Bey,ATL,16,13.346,13.5,2024-01-13,,WAS
Saddiq Bey,ATL,10,13.222,15.5,2024-01-15,,SAS
Saddiq Bey,ATL,7,13.0,12.5,2024-01-17,,ORL
Saddiq Bey,ATL,13,12.613,14.5,2024-01-22,Away,SAC
Saddiq Bey,ATL,18,12.781,13.5,2024-01-24,Away,GSW
Saddiq Bey,ATL,26,13.265,13.5,2024-01-28,,TOR
De'Andre Hunter,ATL,11,14.917,14.5,2023-12-20,Away,HOU
Clint Capela,ATL,15,11.808,13.5,2023-12-20,Away,HOU
Clint Capela,ATL,8,11.667,12.5,2023-12-22,Away,MIA
Clint Capela,ATL,20,11.964,10.5,2023-12-23,,MEM
Clint Capela,ATL,13,12.0,13.5,2023-12-26,Away,CHI
Clint Capela,ATL,12,12.0,12.5,2023-12-29,,SAC
Clint Capela,ATL,11,11.968,14.5,2023-12-31,Away,WAS
Clint Capela,ATL,12,11.969,12.5,2024-01-03,,OKC
Clint Capela,ATL,9,11.879,12.5,2024-01-05,Away,IND
Clint Capela,ATL,4,11.647,11.5,2024-01-07,Away,ORL
Clint Capela,ATL,7,11.514,12.5,2024-01-12,,IND
Clint Capela,ATL,4,11.306,12.5,2024-01-13,,WAS
Clint Capela,ATL,13,11.351,11.5,2024-01-15,,SAS
Clint Capela,ATL,12,11.368,10.5,2024-01-17,,ORL
Clint Capela,ATL,11,11.171,11.5,2024-01-22,Away,SAC
Clint Capela,ATL,11,11.167,11.5,2024-01-24,Away,GSW
Clint Capela,ATL,10,11.14,11.5,2024-01-26,,DAL
Clint Capela,ATL,19,11.318,11.5,2024-01-28,,TOR
Clint Capela,ATL,13,11.356,11.5,2024-01-30,,LAL
Jayson Tatum,BOS,15,26.808,28.5,2023-12-19,Away,GSW
Jayson Tatum,BOS,30,26.926,29.5,2023-12-23,Away,LAC
Jayson Tatum,BOS,25,26.857,28.5,2023-12-25,Away,LAL
Jayson Tatum,BOS,31,27.0,27.5,2023-12-28,,DET
Jayson Tatum,BOS,25,26.933,26.5,2023-12-31,Away,SAS
Jayson Tatum,BOS,30,27.032,26.5,2024-01-02,Away,OKC
Jayson Tatum,BOS,30,27.125,26.5,2024-01-05,,UTA
Jayson Tatum,BOS,38,27.455,27.5,2024-01-06,Away,IND
Jayson Tatum,BOS,45,27.971,25.5,2024-01-10,,MIN
Jayson Tatum,BOS,27,27.361,26.5,2024-01-13,,HOU
Jayson Tatum,BOS,19,27.135,28.5,2024-01-15,Away,TOR
Jayson Tatum,BOS,24,27.053,27.5,2024-01-17,,SAS
Jayson Tatum,BOS,22,26.923,27.5,2024-01-19,,DEN
Jayson Tatum,BOS,26,26.976,26.5,2024-01-25,Away,MIA
Jayson Tatum,BOS,21,26.837,29.5,2024-01-27,,LAC
Jayson Tatum,BOS,28,26.864,28.5,2024-01-29,,NOP
Jayson Tatum,BOS,30,26.933,29.5,2024-01-30,,IND
Jrue Holiday,BOS,13,12.292,12.5,2023-12-19,Away,GSW
Jrue Holiday,BOS,18,13.111,12.5,2023-12-25,Away,LAL
Jrue Holiday,BOS,7,12.933,12.5,2024-01-02,Away,OKC
Jrue Holiday,BOS,14,12.968,12.5,2024-01-05,,UTA
Jrue Holiday,BOS,8,12.812,13.5,2024-01-06,Away,IND
Jrue Holiday,BOS,11,12.778,12.5,2024-01-13,,HOU
Jrue Holiday,BOS,7,13.103,13.5,2024-01-19,,DEN
Jrue Holiday,BOS,17,13.293,11.5,2024-01-25,Away,MIA
Jrue Holiday,BOS,7,13.143,13.5,2024-01-27,,LAC
Jrue Holiday,BOS,17,13.386,13.5,2024-01-30,,IND
Jaylen Brown,BOS,28,22.52,23.5,2023-12-19,Away,GSW
Jaylen Brown,BOS,24,22.778,26.5,2023-12-23,Away,LAC
Jaylen Brown,BOS,19,22.643,23.5,2023-12-25,Away,LAL
Jaylen Brown,BOS,24,22.967,23.5,2023-12-31,Away,SAS
Jaylen Brown,BOS,15,22.71,22.5,2024-01-02,Away,OKC
Jaylen Brown,BOS,13,22.406,23.5,2024-01-05,,UTA
Jaylen Brown,BOS,31,22.667,21.5,2024-01-06,Away,IND
Jaylen Brown,BOS,35,23.514,23.5,2024-01-10,,MIN
Jaylen Brown,BOS,32,23.378,23.5,2024-01-13,,HOU
Jaylen Brown,BOS,21,23.316,26.5,2024-01-17,,SAS
Jaylen Brown,BOS,13,23.051,24.5,2024-01-19,,DEN
Jaylen Brown,BOS,18,22.952,22.5,2024-01-25,Away,MIA
Jaylen Brown,BOS,8,22.605,23.5,2024-01-27,,LAC
Jaylen Brown,BOS,22,22.591,23.5,2024-01-29,,NOP
Jaylen Brown,BOS,25,22.644,22.5,2024-01-30,,IND
Derrick White,BOS,30,15.957,15.5,2023-12-19,Away,GSW
Derrick White,BOS,18,16.577,16.5,2023-12-25,Away,LAL
Derrick White,BOS,19,17.033,16.5,2024-01-02,Away,OKC
Derrick White,BOS,10,16.806,16.5,2024-01-05,,UTA
Derrick White,BOS,7,16.5,16.5,2024-01-06,Away,IND
Derrick White,BOS,13,15.694,12.5,2024-01-13,,HOU
Derrick White,BOS,24,16.079,12.5,2024-01-19,,DEN
Derrick White,BOS,15,15.927,14.5,2024-01-25,Away,MIA
Derrick White,BOS,2,15.595,15.5,2024-01-27,,LAC
Derrick White,BOS,24,15.818,15.5,2024-01-30,,IND
Al Horford,BOS,0,8.667,9.5,2024-01-27,,LAC
Mikal Bridges,BRK,15,21.667,21.5,2023-12-20,,NYK
Mikal Bridges,BRK,14,21.393,19.5,2023-12-22,,DEN
Mikal Bridges,BRK,29,21.655,21.5,2023-12-23,,DET
Mikal Bridges,BRK,21,21.633,22.5,2023-12-26,Away,DET
Mikal Bridges,BRK,6,21.129,22.5,2023-12-27,,MIL
Mikal Bridges,BRK,19,21.062,22.5,2023-12-29,Away,WAS
Mikal Bridges,BRK,22,21.091,22.5,2023-12-31,Away,OKC
Mikal Bridges,BRK,13,20.853,22.5,2024-01-02,Away,NOP
Mikal Bridges,BRK,17,20.583,20.5,2024-01-05,,OKC
Mikal Bridges,BRK,42,21.162,20.5,2024-01-07,,POR
Mikal Bridges,BRK,26,21.289,22.5,2024-01-11,Away,CLE
Mikal Bridges,BRK,26,21.41,22.5,2024-01-15,,MIA
Mikal Bridges,BRK,21,21.4,24.5,2024-01-17,Away,POR
Mikal Bridges,BRK,17,21.293,24.5,2024-01-19,Away,LAL
Mikal Bridges,BRK,26,21.405,22.5,2024-01-21,Away,LAC
Mikal Bridges,BRK,36,21.744,21.5,2024-01-23,,NYK
Mikal Bridges,BRK,21,21.727,22.5,2024-01-25,,MIN
Mikal Bridges,BRK,19,21.667,23.5,2024-01-27,,HOU
Mikal Bridges,BRK,33,21.913,22.5,2024-01-29,,UTA
Spencer Dinwiddie,BRK,10,14.769,16.5,2023-12-20,,NYK
Spencer Dinwiddie,BRK,6,14.444,14.5,2023-12-22,,DEN
Spencer Dinwiddie,BRK,14,14.429,14.5,2023-12-23,,DET
Spencer Dinwiddie,BRK,9,14.241,14.5,2023-12-26,Away,DET
Spencer Dinwiddie,BRK,17,14.333,14.5,2023-12-29,Away,WAS
Spencer Dinwiddie,BRK,13,14.29,14.5,2023-12-31,Away,OKC
Spencer Dinwiddie,BRK,0,13.844,14.5,2024-01-02,Away,NOP
Spencer Dinwiddie,BRK,23,14.029,13.5,2024-01-05,,OKC
Spencer Dinwiddie,BRK,5,13.771,14.5,2024-01-07,,POR
Spencer Dinwiddie,BRK,2,13.444,13.5,2024-01-11,Away,CLE
Spencer Dinwiddie,BRK,16,13.525,12.5,2024-01-21,Away,LAC
Spencer Dinwiddie,BRK,0,13.195,13.5,2024-01-23,,NYK
Spencer Dinwiddie,BRK,10,13.14,11.5,2024-01-27,,HOU
Spencer Dinwiddie,BRK,2,12.886,12.5,2024-01-29,,UTA
Dorian Finney-Smith,BRK,9,10.0,8.5,2024-01-07,,POR
Dorian Finney-Smith,BRK,0,9.583,8.5,2024-01-11,Away,CLE
Dorian Finney-Smith,BRK,0,8.75,8.5,2024-01-21,Away,LAC
Dorian Finney-Smith,BRK,5,8.621,7.5,2024-01-23,,NYK
Dorian Finney-Smith,BRK,19,8.935,9.5,2024-01-27,,HOU
Cameron Johnson,BRK,20,14.25,13.5,2023-12-20,,NYK
Cameron Johnson,BRK,17,14.381,13.5,2023-12-22,,DEN
Cameron Johnson,BRK,18,14.545,14.5,2023-12-23,,DET
Cameron Johnson,BRK,24,14.957,14.5,2023-12-26,Away,DET
Cameron Johnson,BRK,16,15.0,15.5,2023-12-29,Away,WAS
Cameron Johnson,BRK,13,14.92,15.5,2023-12-31,Away,OKC
Cameron Johnson,BRK,17,15.0,14.5,2024-01-02,Away,NOP
Cameron Johnson,BRK,9,14.786,15.5,2024-01-05,,OKC
Cameron Johnson,BRK,17,14.862,15.5,2024-01-07,,POR
Cameron Johnson,BRK,3,14.467,15.5,2024-01-11,Away,CLE
Cameron Johnson,BRK,6,14.194,14.5,2024-01-15,,MIA
Cameron Johnson,BRK,10,14.03,13.5,2024-01-19,Away,LAL
Cameron Johnson,BRK,9,13.882,13.5,2024-01-21,Away,LAC
Cameron Johnson,BRK,19,14.029,12.5,2024-01-23,,NYK
Cameron Johnson,BRK,17,13.865,12.5,2024-01-29,,UTA
DeMar DeRozan,CHI,27,22.37,22.5,2023-12-20,,LAL
DeMar DeRozan,CHI,21,22.321,22.5,2023-12-21,,SAS
DeMar DeRozan,CHI,21,22.276,23.5,2023-12-23,,CLE
DeMar DeRozan,CHI,25,22.367,25.5,2023-12-26,,ATL
DeMar DeRozan,CHI,21,22.323,26.5,2023-12-28,,IND
DeMar DeRozan,CHI,24,22.375,24.5,2023-12-30,,PHI
DeMar DeRozan,CHI,16,22.182,23.5,2024-01-02,Away,PHI
DeMar DeRozan,CHI,18,22.083,20.5,2024-01-08,Away,CHO
DeMar DeRozan,CHI,19,22.0,19.5,2024-01-10,,HOU
DeMar DeRozan,CHI,39,22.447,20.5,2024-01-12,,GSW
DeMar DeRozan,CHI,6,21.975,20.5,2024-01-15,Away,CLE
DeMar DeRozan,CHI,24,22.024,20.5,2024-01-18,Away,TOR
DeMar DeRozan,CHI,18,21.929,24.5,2024-01-20,,MEM
DeMar DeRozan,CHI,21,21.907,22.5,2024-01-22,Away,PHO
DeMar DeRozan,CHI,32,22.136,22.5,2024-01-25,Away,LAL
DeMar DeRozan,CHI,20,22.089,25.5,2024-01-28,Away,POR
DeMar DeRozan,CHI,25,22.152,23.5,2024-01-30,,TOR
Coby White,CHI,17,17.483,22.5,2023-12-20,,LAL
Coby White,CHI,22,17.633,22.5,2023-12-21,,SAS
Coby White,CHI,17,17.613,21.5,2023-12-23,,CLE
Coby White,CHI,16,17.606,24.5,2023-12-28,,IND
Coby White,CHI,20,17.676,21.5,2023-12-30,,PHI
Coby White,CHI,14,17.571,22.5,2024-01-02,Away,PHI
Coby White,CHI,27,18.158,18.5,2024-01-08,Away,CHO
Coby White,CHI,30,18.462,19.5,2024-01-10,,HOU
Coby White,CHI,25,18.625,20.5,2024-01-12,,GSW
Coby White,CHI,18,18.524,18.5,2024-01-15,Away,CLE
Coby White,CHI,23,18.628,19.5,2024-01-18,Away,TOR
Coby White,CHI,17,18.591,22.5,2024-01-20,,MEM
Coby White,CHI,26,18.756,20.5,2024-01-22,Away,PHO
Coby White,CHI,25,18.891,21.5,2024-01-25,Away,LAL
Coby White,CHI,15,18.809,22.5,2024-01-28,Away,POR
Coby White,CHI,13,18.688,24.5,2024-01-30,,TOR
Zach LaVine,CHI,25,21.4,20.5,2024-01-12,,GSW
Zach LaVine,CHI,10,20.857,20.5,2024-01-13,Away,SAS
Zach LaVine,CHI,17,20.682,19.5,2024-01-15,Away,CLE
Zach LaVine,CHI,8,20.13,19.5,2024-01-18,Away,TOR
Patrick Williams,CHI,15,11.105,12.5,2023-12-20,,LAL
Patrick Williams,CHI,13,11.524,12.5,2023-12-23,,CLE
Patrick Williams,CHI,22,11.739,14.5,2023-12-28,,IND
Patrick Williams,CHI,3,11.44,13.5,2024-01-02,Away,PHI
Patrick Williams,CHI,6,11.1,10.5,2024-01-25,Away,LAL
Alex Caruso,CHI,10,10.385,8.5,2023-12-23,,CLE
Alex Caruso,CHI,15,10.733,12.5,2023-12-28,,IND
Alex Caruso,CHI,8,10.765,11.5,2024-01-02,Away,PHI
Alex Caruso,CHI,10,10.435,8.5,2024-01-15,Away,CLE
Alex Caruso,CHI,10,10.417,9.5,2024-01-18,Away,TOR
Alex Caruso,CHI,8,10.32,11.5,2024-01-20,,MEM
Alex Caruso,CHI,17,10.741,10.5,2024-01-25,Away,LAL
Alex Caruso,CHI,9,10.679,10.5,2024-01-28,Away,POR
Alex Caruso,CHI,11,10.69,12.5,2024-01-30,,TOR
Miles Bridges,CHO,19,19.846,21.5,2023-12-20,Away,IND
Miles Bridges,CHO,22,20.0,18.5,2023-12-23,,DEN
Miles Bridges,CHO,20,20.062,21.5,2023-12-28,Away,LAL
Miles Bridges,CHO,26,19.889,20.5,2024-01-01,Away,DEN
Miles Bridges,CHO,28,20.65,20.5,2024-01-05,Away,CHI
Miles Bridges,CHO,24,20.81,23.5,2024-01-08,,CHI
Miles Bridges,CHO,24,20.955,24.5,2024-01-10,,SAC
Miles Bridges,CHO,20,20.625,22.5,2024-01-14,Away,MIA
Miles Bridges,CHO,19,20.56,19.5,2024-01-17,Away,NOP
Miles Bridges,CHO,23,20.654,22.5,2024-01-19,,SAS
Miles Bridges,CHO,25,20.815,18.5,2024-01-20,,PHI
Miles Bridges,CHO,28,21.071,19.5,2024-01-22,Away,MIN
Miles Bridges,CHO,20,21.034,24.5,2024-01-24,Away,DET
Miles Bridges,CHO,21,21.033,23.5,2024-01-26,,HOU
Miles Bridges,CHO,21,21.032,23.5,2024-01-27,,UTA
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,23.176,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,25,21.709,22.5,2023-12-20,Away,IND
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.889,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,21.643,23.5,2023-12-26,Away,LAC
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
Terry Rozier,CHO,18,22.632,24.5,2023-12-28,Away,LAL
