Player,team,Rk,G,Date,Age,Tm,Unnamed: 7,Opp,Unnamed: 9,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Points_Running_Avg,Rebounds_Running_Avg,Assists_Running_Avg,Steals_Running_Avg,Blocks_Running_Avg,Points_Diff,Rebounds_Diff,Assists_Diff,Steals_Diff,Blocks_Diff
Kevin Durant,PHO,31,30.0,2022-12-18,34-080,BRK,@,DET,W (+3),1,36:23,14.0,22.0,0.636,3.0,5.0,0.6,12.0,13.0,0.923,1.0,5.0,6.0,2.0,1.0,2.0,6.0,3.0,43.0,31.6,-3.0,29.192,6.551,5.038,0.718,1.487,13.808,-0.551,-3.038,0.282,0.513
Kevin Durant,PHO,32,31.0,2022-12-21,34-083,BRK,,GSW,W (+30),1,29:06,9.0,17.0,0.529,1.0,3.0,0.333,4.0,4.0,1.0,0.0,7.0,7.0,5.0,4.0,0.0,2.0,2.0,23.0,21.5,29.0,29.114,6.557,5.038,0.759,1.468,-6.114,0.443,-0.038,3.241,-1.468
Kevin Durant,PHO,33,32.0,2022-12-23,34-085,BRK,,MIL,W (+18),1,34:14,9.0,17.0,0.529,2.0,6.0,0.333,4.0,4.0,1.0,0.0,5.0,5.0,6.0,1.0,1.0,3.0,2.0,24.0,19.3,17.0,29.05,6.538,5.05,0.762,1.462,-5.05,-1.538,0.95,0.238,-0.462
Kevin Durant,PHO,34,33.0,2022-12-26,34-088,BRK,@,CLE,W (+8),1,36:27,10.0,18.0,0.556,5.0,8.0,0.625,7.0,8.0,0.875,1.0,8.0,9.0,5.0,0.0,0.0,4.0,6.0,32.0,23.2,10.0,29.086,6.568,5.049,0.753,1.444,2.914,2.432,-0.049,-0.753,-1.444
Kevin Durant,PHO,35,34.0,2022-12-28,34-090,BRK,@,ATL,W (+1),1,36:27,8.0,17.0,0.471,1.0,4.0,0.25,9.0,9.0,1.0,1.0,15.0,16.0,8.0,0.0,2.0,4.0,3.0,26.0,24.3,9.0,29.049,6.683,5.085,0.744,1.451,-3.049,9.317,2.915,-0.744,0.549
Kevin Durant,PHO,36,35.0,2022-12-31,34-093,BRK,@,CHO,W (+17),1,29:48,9.0,15.0,0.6,1.0,6.0,0.167,4.0,4.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,3.0,23.0,16.2,21.0,28.976,6.663,5.072,0.735,1.434,-5.976,-1.663,-1.072,-0.735,-1.434
Kevin Durant,PHO,37,36.0,2023-01-02,34-095,BRK,,SAS,W (+36),1,28:40,10.0,14.0,0.714,0.0,1.0,0.0,5.0,5.0,1.0,0.0,3.0,3.0,11.0,3.0,1.0,2.0,1.0,25.0,29.1,21.0,28.929,6.619,5.143,0.762,1.429,-3.929,-3.619,5.857,2.238,-0.429
Kevin Durant,PHO,38,37.0,2023-01-04,34-097,BRK,@,CHI,L (-9),1,38:29,15.0,22.0,0.682,5.0,10.0,0.5,9.0,9.0,1.0,0.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,44.0,37.9,-3.0,29.106,6.588,5.141,0.765,1.435,14.894,-2.588,-0.141,0.235,0.565
Kevin Durant,PHO,39,38.0,2023-01-06,34-099,BRK,@,NOP,W (+6),1,37:52,9.0,26.0,0.346,4.0,7.0,0.571,11.0,11.0,1.0,1.0,9.0,10.0,3.0,0.0,2.0,4.0,1.0,33.0,20.9,20.0,29.151,6.628,5.116,0.756,1.442,3.849,3.372,-2.116,-0.756,0.558
Kevin Durant,PHO,40,39.0,2023-01-08,34-101,BRK,@,MIA,W (+1),1,30:09,5.0,11.0,0.455,1.0,3.0,0.333,6.0,7.0,0.857,1.0,4.0,5.0,2.0,1.0,0.0,4.0,1.0,17.0,10.8,-2.0,29.011,6.609,5.08,0.759,1.425,-12.011,-1.609,-3.08,0.241,-1.425
Kevin Durant,PHO,61,40.0,2023-03-01,34-153,PHO,@,CHO,W (+14),1,26:50,10.0,15.0,0.667,2.0,4.0,0.5,1.0,1.0,1.0,0.0,6.0,6.0,2.0,0.0,2.0,2.0,0.0,23.0,19.1,13.0,28.943,6.602,5.045,0.75,1.432,-5.943,-0.602,-3.045,-0.75,0.568
Kevin Durant,PHO,62,41.0,2023-03-03,34-155,PHO,@,CHI,W (+21),1,30:54,7.0,10.0,0.7,2.0,4.0,0.5,4.0,5.0,0.8,1.0,8.0,9.0,6.0,1.0,1.0,2.0,2.0,20.0,21.6,24.0,28.843,6.629,5.056,0.753,1.427,-8.843,2.371,0.944,0.247,-0.427
Kevin Durant,PHO,63,42.0,2023-03-05,34-157,PHO,@,DAL,W (+4),1,40:22,12.0,17.0,0.706,3.0,5.0,0.6,10.0,11.0,0.909,0.0,7.0,7.0,3.0,0.0,1.0,2.0,3.0,37.0,31.2,9.0,28.933,6.633,5.033,0.744,1.422,8.067,0.367,-2.033,-0.744,-0.422
Kevin Durant,PHO,64,,2023-03-08,34-160,PHO,,OKC,W (+31),Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,PHO,74,43.0,2023-03-29,34-181,PHO,,MIN,W (+7),1,28:53,5.0,18.0,0.278,2.0,4.0,0.5,4.0,5.0,0.8,1.0,7.0,8.0,4.0,0.0,0.0,2.0,0.0,16.0,8.6,-1.0,28.478,6.576,4.967,0.728,1.391,-12.478,1.424,-0.967,-0.728,-1.391
Kevin Durant,PHO,75,44.0,2023-03-31,34-183,PHO,,DEN,W (+7),1,33:11,11.0,15.0,0.733,2.0,3.0,0.667,6.0,7.0,0.857,0.0,4.0,4.0,2.0,1.0,2.0,3.0,0.0,30.0,25.5,,28.495,6.548,4.935,0.731,1.398,1.505,-2.548,-2.935,0.269,0.602
Kevin Durant,PHO,76,45.0,2023-04-02,34-185,PHO,@,OKC,W (+10),1,34:48,13.0,21.0,0.619,3.0,7.0,0.429,6.0,6.0,1.0,0.0,5.0,5.0,5.0,0.0,2.0,2.0,1.0,35.0,29.5,5.0,28.564,6.532,4.936,0.723,1.404,6.436,-1.532,0.064,-0.723,0.596
Kevin Durant,PHO,77,46.0,2023-04-04,34-187,PHO,,SAS,W (+21),1,33:36,6.0,14.0,0.429,2.0,4.0,0.5,4.0,6.0,0.667,1.0,4.0,5.0,2.0,0.0,1.0,3.0,1.0,18.0,10.4,23.0,28.453,6.516,4.905,0.716,1.4,-10.453,-1.516,-2.905,-0.716,-0.4
Kevin Durant,PHO,78,47.0,2023-04-06,34-189,PHO,,DEN,W (+4),1,40:38,9.0,18.0,0.5,6.0,10.0,0.6,5.0,7.0,0.714,0.0,7.0,7.0,4.0,0.0,1.0,4.0,0.0,29.0,20.8,-3.0,28.458,6.521,4.896,0.708,1.396,0.542,0.479,-0.896,-0.708,-0.396
Damian Lillard,POR,1,1.0,2022-10-19,32-096,POR,@,SAC,W (+7),1,36:45,5.0,18.0,0.278,1.0,8.0,0.125,9.0,9.0,1.0,3.0,1.0,4.0,8.0,2.0,0.0,4.0,0.0,20.0,15.4,-1.0,20.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,POR,2,2.0,2022-10-21,32-098,POR,,PHO,W (+2),1,42:37,12.0,25.0,0.48,5.0,12.0,0.417,12.0,12.0,1.0,1.0,6.0,7.0,3.0,0.0,1.0,4.0,2.0,41.0,28.8,-2.0,30.5,5.5,5.5,1.0,0.5,10.5,1.5,-2.5,-1.0,0.5
Damian Lillard,POR,3,3.0,2022-10-23,32-100,POR,@,LAL,W (+2),1,34:11,15.0,25.0,0.6,6.0,13.0,0.462,5.0,7.0,0.714,1.0,4.0,5.0,2.0,0.0,1.0,6.0,3.0,41.0,25.5,2.0,34.0,5.333,4.333,0.667,0.667,7.0,-0.333,-2.333,-0.667,0.333
Damian Lillard,POR,4,4.0,2022-10-24,32-101,POR,,DEN,W (+25),1,34:41,10.0,16.0,0.625,4.0,7.0,0.571,7.0,8.0,0.875,1.0,5.0,6.0,8.0,1.0,0.0,1.0,2.0,31.0,30.4,24.0,33.25,5.5,5.25,0.75,0.5,-2.25,0.5,2.75,0.25,-0.5
Damian Lillard,POR,5,5.0,2022-10-26,32-103,POR,,MIA,L (-21),1,26:29,6.0,13.0,0.462,4.0,11.0,0.364,6.0,6.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,22.0,14.3,-10.0,31.0,4.8,4.6,0.8,0.4,-9.0,-2.8,-2.6,0.2,-0.4
Damian Lillard,POR,6,,2022-10-28,32-105,POR,,HOU,W (+14),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,7,,2022-11-02,32-110,POR,,MEM,L (-5),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,8,,2022-11-04,32-112,POR,@,PHO,W (+2),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,10,6.0,2022-11-07,32-115,POR,@,MIA,W (+3),1,34:32,4.0,12.0,0.333,3.0,8.0,0.375,8.0,9.0,0.889,0.0,3.0,3.0,6.0,0.0,0.0,4.0,2.0,19.0,12.1,6.0,19.333,3.0,3.222,0.444,0.222,-0.333,0.0,2.778,-0.444,-0.222
Damian Lillard,POR,11,7.0,2022-11-09,32-117,POR,@,CHO,W (+10),1,36:04,8.0,16.0,0.5,6.0,12.0,0.5,4.0,8.0,0.5,1.0,5.0,6.0,7.0,0.0,0.0,6.0,2.0,26.0,16.7,1.0,20.0,3.3,3.6,0.4,0.2,6.0,2.7,3.4,-0.4,-0.2
Damian Lillard,POR,13,8.0,2022-11-12,32-120,POR,@,DAL,L (-5),1,37:41,6.0,16.0,0.375,2.0,7.0,0.286,15.0,17.0,0.882,2.0,5.0,7.0,12.0,1.0,0.0,5.0,1.0,29.0,26.3,-2.0,20.818,3.636,4.364,0.455,0.182,8.182,3.364,7.636,0.545,-0.182
Damian Lillard,POR,14,9.0,2022-11-15,32-123,POR,,SAS,W (+7),1,39:31,8.0,20.0,0.4,2.0,9.0,0.222,4.0,5.0,0.8,0.0,2.0,2.0,11.0,0.0,1.0,4.0,2.0,22.0,15.0,15.0,20.917,3.5,4.917,0.417,0.25,1.083,-1.5,6.083,-0.417,0.75
Damian Lillard,POR,15,10.0,2022-11-17,32-125,POR,,BRK,L (-2),1,37:38,8.0,24.0,0.333,3.0,12.0,0.25,6.0,6.0,1.0,1.0,2.0,3.0,11.0,1.0,0.0,2.0,2.0,25.0,18.6,-2.0,21.231,3.462,5.385,0.462,0.231,3.769,-0.462,5.615,0.538,-0.231
Damian Lillard,POR,16,11.0,2022-11-19,32-127,POR,,UTA,L (-5),1,26:38,2.0,14.0,0.143,1.0,12.0,0.083,8.0,9.0,0.889,0.0,2.0,2.0,7.0,0.0,0.0,2.0,2.0,13.0,6.3,-17.0,20.643,3.357,5.5,0.429,0.214,-7.643,-1.357,1.5,-0.429,-0.214
Damian Lillard,POR,17,,2022-11-21,32-129,POR,@,MIL,L (-8),Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
