team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Position
SAC,/players/b/barneha02.html,4,Harrison Barnes,31,51,51,29.8,4.2,8.8,.478,1.9,4.9,.399,2.3,3.9,.575,.588,1.8,2.2,.811,0.8,2.1,2.9,1.2,0.7,0.2,0.7,1.2,12.1,PF
SAC,/players/m/monkma01.html,5,Malik Monk,25,50,0,25.6,5.2,11.5,.449,2.3,6.0,.378,2.9,5.6,.525,.547,2.3,2.9,.807,0.4,2.3,2.7,5.3,0.6,0.6,2.1,2.0,15.0,SG
SAC,/players/h/huertke01.html,6,Kevin Huerter,25,49,44,25.1,4.1,9.1,.452,2.1,5.6,.370,2.0,3.5,.585,.566,0.7,0.9,.791,0.6,3.0,3.7,2.7,0.7,0.4,0.8,2.2,11.0,SG
SAC,/players/l/lylestr01.html,7,Trey Lyles,28,37,0,20.1,2.6,5.6,.469,1.7,4.1,.418,0.9,1.5,.607,.622,0.8,1.2,.689,0.9,3.6,4.5,1.3,0.3,0.3,0.6,1.5,7.9,PF
SAC,/players/m/mitchda01.html,8,Davion Mitchell,25,41,3,13.0,1.4,3.6,.385,0.5,1.8,.260,0.9,1.8,.507,.449,0.4,0.6,.783,0.1,0.9,1.0,1.8,0.2,0.0,0.6,1.2,3.7,PG
SAS,/players/v/vassede01.html,1,Devin Vassell,23,48,42,31.8,7.0,14.9,.467,2.5,6.8,.363,4.5,8.1,.554,.550,2.5,3.1,.807,0.4,3.3,3.7,3.6,1.0,0.3,1.4,1.0,18.9,SG
SAS,/players/j/johnske04.html,2,Keldon Johnson,24,49,26,30.2,6.0,13.2,.453,1.8,5.2,.339,4.2,8.1,.527,.519,2.7,3.4,.780,1.4,4.4,5.8,3.0,0.8,0.3,1.6,2.3,16.4,SF
SAS,/players/s/sochaje01.html,3,Jeremy Sochan,20,53,52,29.5,4.4,10.1,.439,1.0,2.8,.338,3.5,7.2,.479,.487,1.5,1.9,.775,1.8,4.3,6.1,3.7,0.7,0.4,1.9,2.3,11.3,PF
SAS,/players/w/wembavi01.html,4,Victor Wembanyama,20,47,47,28.4,7.4,16.1,.464,1.6,4.9,.316,5.9,11.1,.529,.512,3.8,4.7,.811,2.1,7.9,10.0,3.1,1.1,3.0,3.4,2.2,20.3,
SAS,/players/j/jonestr01.html,5,Tre Jones,24,48,19,26.1,3.8,7.7,.500,0.6,2.3,.284,3.2,5.4,.591,.542,1.5,1.7,.877,0.7,2.4,3.1,5.8,1.0,0.1,1.4,1.2,9.8,PG
