team,player_link,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
NYK,/players/a/anunoog01.html,2,OG Anunoby,26,14,14,35.7,5.8,11.2,.516,1.8,4.6,.391,4.0,6.6,.602,.596,2.3,2.7,.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
NYK,/players/r/randlju01.html,3,Julius Randle,29,46,46,35.4,8.6,18.2,.472,1.7,5.3,.311,6.9,12.9,.539,.518,5.1,6.6,.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0
NYK,/players/h/hartjo01.html,4,Josh Hart,28,54,15,29.9,3.0,7.1,.423,0.9,3.0,.306,2.1,4.2,.507,.487,0.9,1.0,.839,1.3,5.8,7.1,3.2,0.8,0.3,1.3,1.9,7.8
NYK,/players/b/barrerj01.html,5,RJ Barrett,23,26,26,29.5,6.3,14.9,.423,1.7,5.0,.331,4.7,9.9,.469,.478,4.0,4.8,.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
NYK,/players/r/robinmi01.html,6,Mitchell Robinson,25,21,21,29.2,2.8,4.7,.592,0.0,0.0,,2.8,4.7,.592,.592,0.7,1.8,.368,5.3,5.0,10.3,0.7,1.5,1.3,1.0,1.9,6.2
NYK,/players/b/bogdabo02.html,7,Bojan Bogdanović,34,2,0,28.0,5.0,11.5,.435,1.5,5.5,.273,3.5,6.0,.583,.500,1.5,2.5,.600,0.0,3.5,3.5,0.5,0.5,0.5,0.5,2.0,13.0
NYK,/players/h/harteis01.html,8,Isaiah Hartenstein,25,50,24,25.6,2.9,4.6,.619,0.0,0.1,.333,2.8,4.6,.623,.621,1.4,2.0,.707,3.4,5.3,8.7,2.0,1.2,1.1,1.2,2.9,7.1
OKC,/players/g/gilgesh01.html,1,Shai Gilgeous-Alexander,25,53,53,34.5,10.9,20.1,.546,1.2,3.3,.371,9.7,16.8,.580,.576,8.0,9.1,.883,0.9,4.6,5.5,6.5,2.2,0.9,2.2,2.5,31.1
OKC,/players/w/willija06.html,2,Jalen Williams,22,48,48,32.0,7.5,13.8,.544,1.5,3.3,.453,6.0,10.5,.573,.598,2.7,3.3,.811,0.5,3.5,4.1,4.6,1.0,0.5,1.8,2.6,19.2
OKC,/players/h/holmgch01.html,3,Chet Holmgren,21,54,54,30.1,6.3,11.8,.535,1.7,4.2,.393,4.6,7.5,.616,.606,2.5,3.2,.773,1.6,6.0,7.6,2.7,0.7,2.6,1.6,2.5,16.7
