Player,team,Rk,G,Date,Age,Tm,Place,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Dejounte Murray,ATL,15,15.0,2023-11-25,27-067,ATL,Away,WAS,W (+28),1,26:43,4.0,14.0,0.286,1.0,6.0,0.167,2.0,2.0,1.0,0.0,5.0,5.0,10.0,4.0,0.0,0.0,0.0,11.0,15.3,19.0
Dejounte Murray,ATL,16,16.0,2023-11-26,27-068,ATL,Away,BOS,L (-10),1,34:12,2.0,13.0,0.154,0.0,6.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,3.0,1.0,6.0,-1.6,-7.0
Dejounte Murray,ATL,17,17.0,2023-11-28,27-070,ATL,Away,CLE,L (-23),1,31:03,5.0,14.0,0.357,3.0,7.0,0.429,0.0,0.0,,1.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,13.0,6.9,-21.0
Dejounte Murray,ATL,18,18.0,2023-11-30,27-072,ATL,Away,SAS,W (+2),1,34:46,10.0,21.0,0.476,2.0,4.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,2.0,5.0,0.0,0.0,1.0,24.0,20.2,-1.0
Dejounte Murray,ATL,19,19.0,2023-12-02,27-074,ATL,Away,MIL,L (-11),1,34:00,12.0,19.0,0.632,4.0,6.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,30.0,24.2,-7.0
Dejounte Murray,ATL,20,20.0,2023-12-06,27-078,ATL,,BRK,L (-1),1,31:59,6.0,16.0,0.375,1.0,5.0,0.2,0.0,0.0,,0.0,10.0,10.0,9.0,1.0,0.0,0.0,3.0,13.0,13.3,2.0
Dejounte Murray,ATL,21,21.0,2023-12-08,27-080,ATL,Away,PHI,L (-11),1,35:58,7.0,17.0,0.412,2.0,5.0,0.4,4.0,4.0,1.0,1.0,3.0,4.0,9.0,1.0,0.0,4.0,1.0,20.0,15.4,-7.0
Dejounte Murray,ATL,22,22.0,2023-12-11,27-083,ATL,,DEN,L (-7),1,38:13,8.0,22.0,0.364,3.0,8.0,0.375,2.0,2.0,1.0,4.0,2.0,6.0,3.0,1.0,0.0,2.0,2.0,21.0,12.5,-6.0
Dejounte Murray,ATL,23,23.0,2023-12-13,27-085,ATL,Away,TOR,L (-7),1,34:02,8.0,17.0,0.471,4.0,9.0,0.444,0.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,2.0,0.0,2.0,20.0,15.9,-17.0
Dejounte Murray,ATL,24,24.0,2023-12-15,27-087,ATL,Away,TOR,W (+21),1,33:19,8.0,18.0,0.444,1.0,6.0,0.167,0.0,0.0,,1.0,6.0,7.0,9.0,1.0,0.0,1.0,3.0,17.0,15.2,18.0
Dejounte Murray,ATL,25,25.0,2023-12-16,27-088,ATL,Away,CLE,L (-8),1,36:43,8.0,19.0,0.421,0.0,5.0,0.0,5.0,6.0,0.833,0.0,3.0,3.0,6.0,1.0,1.0,0.0,2.0,21.0,16.5,-3.0
Dejounte Murray,ATL,26,26.0,2023-12-18,27-090,ATL,,DET,W (+6),1,32:57,8.0,13.0,0.615,3.0,5.0,0.6,1.0,2.0,0.5,0.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,20.0,16.6,2.0
Dejounte Murray,ATL,27,27.0,2023-12-20,27-092,ATL,Away,HOU,W (+7),1,35:18,7.0,15.0,0.467,3.0,8.0,0.375,4.0,5.0,0.8,2.0,1.0,3.0,5.0,0.0,1.0,3.0,2.0,21.0,15.0,-8.0
Dejounte Murray,ATL,28,28.0,2023-12-22,27-094,ATL,Away,MIA,L (-9),1,34:27,10.0,20.0,0.5,3.0,9.0,0.333,1.0,3.0,0.333,1.0,7.0,8.0,6.0,3.0,0.0,2.0,0.0,24.0,21.2,-3.0
Dejounte Murray,ATL,29,29.0,2023-12-23,27-095,ATL,,MEM,L (-6),1,35:25,10.0,15.0,0.667,4.0,6.0,0.667,2.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,0.0,3.0,4.0,26.0,21.3,-4.0
Dejounte Murray,ATL,30,30.0,2023-12-26,27-098,ATL,Away,CHI,L (-5),1,34:22,6.0,15.0,0.4,2.0,9.0,0.222,3.0,4.0,0.75,0.0,6.0,6.0,4.0,2.0,1.0,3.0,4.0,17.0,11.2,0.0
Dejounte Murray,ATL,31,31.0,2023-12-29,27-101,ATL,,SAC,L (-7),1,36:50,7.0,20.0,0.35,4.0,8.0,0.5,0.0,0.0,,1.0,5.0,6.0,3.0,1.0,0.0,3.0,3.0,18.0,7.9,5.0
Dejounte Murray,ATL,32,32.0,2023-12-31,27-103,ATL,Away,WAS,W (+4),1,34:10,13.0,21.0,0.619,3.0,6.0,0.5,3.0,5.0,0.6,1.0,5.0,6.0,3.0,0.0,0.0,1.0,1.0,32.0,24.6,0.0
Dejounte Murray,ATL,33,33.0,2024-01-03,27-106,ATL,,OKC,W (+3),1,35:24,8.0,18.0,0.444,2.0,5.0,0.4,4.0,4.0,1.0,2.0,4.0,6.0,6.0,0.0,0.0,3.0,2.0,22.0,15.6,4.0
Dejounte Murray,ATL,34,34.0,2024-01-05,27-108,ATL,Away,IND,L (-34),1,34:20,13.0,19.0,0.684,2.0,3.0,0.667,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,30.0,22.6,-20.0
Dejounte Murray,ATL,35,35.0,2024-01-07,27-110,ATL,Away,ORL,L (-7),1,40:06,9.0,20.0,0.45,0.0,2.0,0.0,6.0,10.0,0.6,0.0,6.0,6.0,2.0,0.0,0.0,3.0,2.0,24.0,11.4,-14.0
Dejounte Murray,ATL,36,36.0,2024-01-10,27-113,ATL,,PHI,W (+7),1,37:51,8.0,18.0,0.444,5.0,7.0,0.714,4.0,4.0,1.0,0.0,5.0,5.0,5.0,1.0,0.0,1.0,2.0,25.0,19.8,1.0
Dejounte Murray,ATL,37,37.0,2024-01-12,27-115,ATL,,IND,L (-18),1,31:47,13.0,18.0,0.722,3.0,6.0,0.5,0.0,0.0,,0.0,4.0,4.0,4.0,3.0,0.0,3.0,2.0,29.0,24.8,-1.0
Dejounte Murray,ATL,38,38.0,2024-01-13,27-116,ATL,,WAS,L (-28),1,31:06,4.0,15.0,0.267,1.0,6.0,0.167,4.0,4.0,1.0,0.0,5.0,5.0,3.0,0.0,0.0,2.0,1.0,13.0,5.3,-22.0
Dejounte Murray,ATL,39,39.0,2024-01-15,27-118,ATL,,SAS,W (+10),1,32:50,6.0,15.0,0.4,1.0,6.0,0.167,0.0,0.0,,0.0,13.0,13.0,0.0,0.0,1.0,2.0,3.0,13.0,6.3,0.0
Dejounte Murray,ATL,40,40.0,2024-01-17,27-120,ATL,,ORL,W (+2),1,36:02,11.0,18.0,0.611,1.0,4.0,0.25,3.0,3.0,1.0,1.0,4.0,5.0,5.0,2.0,0.0,5.0,1.0,26.0,19.8,-2.0
Dejounte Murray,ATL,41,41.0,2024-01-19,27-122,ATL,Away,MIA,W (+1),1,39:46,9.0,22.0,0.409,3.0,7.0,0.429,1.0,1.0,1.0,0.0,3.0,3.0,11.0,2.0,0.0,2.0,2.0,22.0,18.0,3.0
Dejounte Murray,ATL,42,42.0,2024-01-20,27-123,ATL,,CLE,L (-21),1,34:43,10.0,19.0,0.526,2.0,7.0,0.286,2.0,2.0,1.0,0.0,9.0,9.0,5.0,1.0,0.0,2.0,2.0,24.0,19.1,-20.0
Dejounte Murray,ATL,43,43.0,2024-01-22,27-125,ATL,Away,SAC,L (-15),1,40:06,11.0,23.0,0.478,6.0,10.0,0.6,7.0,8.0,0.875,0.0,10.0,10.0,6.0,0.0,1.0,4.0,1.0,35.0,26.4,-4.0
Dejounte Murray,ATL,44,44.0,2024-01-24,27-127,ATL,Away,GSW,L (-22),1,33:13,7.0,19.0,0.368,2.0,7.0,0.286,7.0,8.0,0.875,3.0,4.0,7.0,7.0,1.0,0.0,2.0,2.0,23.0,18.5,-13.0
Dejounte Murray,ATL,45,45.0,2024-01-26,27-129,ATL,,DAL,L (-5),1,37:03,9.0,18.0,0.5,3.0,7.0,0.429,1.0,2.0,0.5,1.0,4.0,5.0,7.0,0.0,0.0,3.0,3.0,22.0,15.2,-21.0
Dejounte Murray,ATL,47,46.0,2024-01-30,27-133,ATL,,LAL,W (+16),1,33:20,11.0,19.0,0.579,0.0,4.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,9.0,2.0,0.0,3.0,1.0,24.0,21.2,19.0
Dejounte Murray,ATL,48,47.0,2024-02-02,27-136,ATL,,PHO,W (+9),1,39:10,7.0,17.0,0.412,1.0,8.0,0.125,7.0,8.0,0.875,0.0,8.0,8.0,5.0,1.0,0.0,1.0,2.0,22.0,17.6,10.0
Dejounte Murray,ATL,49,48.0,2024-02-03,27-137,ATL,,GSW,W (+7),1,40:58,9.0,24.0,0.375,0.0,6.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,7.0,1.0,0.0,2.0,5.0,19.0,9.2,4.0
Dejounte Murray,ATL,50,49.0,2024-02-05,27-139,ATL,,LAC,L (-5),1,34:18,7.0,18.0,0.389,3.0,7.0,0.429,4.0,5.0,0.8,1.0,4.0,5.0,7.0,0.0,0.0,2.0,1.0,21.0,15.2,-7.0
Dejounte Murray,ATL,53,50.0,2024-02-10,27-144,ATL,,HOU,W (+9),1,39:52,9.0,19.0,0.474,4.0,9.0,0.444,12.0,15.0,0.8,0.0,6.0,6.0,7.0,2.0,1.0,1.0,0.0,34.0,31.5,8.0
