Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2024-01-20,Jaden McDaniels,,,,12.5,2.0,1.77,2.5,1.6,2.3
2024-01-20,Rudy Gobert,,,,15.5,2.0,1.77,12.5,1.83,1.91
2023-12-22,Aaron Gordon,2.5,1.6,2.3,13.5,2.0,1.77,6.5,1.87,1.87
2023-12-22,Cameron Johnson,2.5,2.4,1.56,13.5,1.91,1.83,4.5,1.83,1.91
2023-12-22,Cameron Thomas,2.5,1.95,1.8,23.5,1.74,2.05,3.5,1.95,1.8
2023-12-22,Jamal Murray,5.5,1.69,2.14,20.5,1.83,1.91,3.5,1.8,1.95
2023-12-22,Mikal Bridges,3.5,2.2,1.67,19.5,1.74,2.05,4.5,1.74,2.05
2023-12-22,Nikola Jokic,9.5,1.83,1.91,26.5,1.69,2.14,12.5,1.74,2.05
2023-12-22,Spencer Dinwiddie,7.5,2.24,1.62,14.5,1.91,1.83,3.5,1.77,2.0
2023-12-22,Kentavious Caldwell-Pope,,,,8.5,1.91,1.83,2.5,2.05,1.74
2023-12-22,Michael Porter Jr.,,,,14.5,1.83,1.91,7.5,2.0,1.77
2023-12-22,Nicolas Claxton,,,,10.5,1.8,1.95,8.5,1.74,2.05
2024-01-17,Anthony Davis,3.5,1.83,1.91,27.5,1.91,1.83,13.5,1.95,1.8
2024-01-17,LeBron James,8.5,2.1,1.71,25.5,1.8,1.95,7.5,1.95,1.8
2024-01-17,Luka Doncic,8.5,1.71,2.1,33.5,1.91,1.83,7.5,1.74,2.05
2024-01-17,Taurean Prince,,,,9.5,1.95,1.8,3.5,2.1,1.71
2024-01-12,Coby White,5.5,1.91,1.83,20.5,1.83,1.91,4.5,1.8,1.95
2024-01-12,DeMar DeRozan,4.5,1.67,2.2,20.5,1.87,1.87,3.5,1.6,2.3
2024-01-12,Jonathan Kuminga,2.5,1.69,2.14,14.5,1.83,1.91,5.5,2.14,1.69
2024-01-12,Klay Thompson,2.5,2.14,1.69,18.5,1.91,1.83,3.5,1.95,1.8
2024-01-12,Nikola Vucevic,2.5,1.62,2.24,17.5,1.87,1.87,11.5,1.87,1.87
2024-01-12,Stephen Curry,5.5,1.6,2.3,27.5,1.77,2.0,3.5,1.56,2.4
2024-01-12,Zach LaVine,3.5,1.62,2.24,20.5,1.8,1.95,4.5,1.87,1.87
2024-01-14,Damian Lillard,7.5,1.87,1.87,26.5,1.87,1.87,4.5,2.24,1.62
2024-01-14,De'Aaron Fox,5.5,1.91,1.83,26.5,1.71,2.1,3.5,1.71,2.1
2024-01-14,Domantas Sabonis,7.5,1.77,2.0,21.5,1.87,1.87,11.5,1.83,1.91
2024-01-14,Giannis Antetokounmpo,6.5,1.91,1.83,34.5,1.95,1.8,12.5,1.71,2.1
2024-01-14,Brook Lopez,,,,13.5,1.83,1.91,5.5,1.91,1.83
2024-01-14,Keegan Murray,,,,16.5,1.91,1.83,5.5,1.87,1.87
2024-01-14,Malik Beasley,,,,11.5,1.95,1.8,3.5,1.71,2.1
2024-01-23,Anthony Davis,4.5,2.14,1.69,27.5,1.87,1.87,12.5,1.69,2.14
2024-01-23,Austin Reaves,6.5,2.05,1.74,16.5,1.8,1.95,3.5,1.69,2.14
2024-01-23,D'Angelo Russell,7.5,2.05,1.74,19.5,1.87,1.87,2.5,1.74,2.05
2024-01-23,James Harden,8.5,1.57,2.35,17.5,1.77,2.0,4.5,1.74,2.05
2024-01-23,Kawhi Leonard,3.5,1.83,1.91,24.5,1.83,1.91,6.5,2.14,1.69
2024-01-23,Paul George,2.5,1.69,2.14,24.5,1.83,1.91,5.5,1.67,2.2
2024-01-23,Taurean Prince,,,,10.5,1.91,1.83,2.5,1.74,2.05
2024-01-23,Terance Mann,,,,7.5,1.8,1.95,2.5,1.62,2.24
2023-12-27,Donovan Mitchell,6.5,1.91,1.83,30.5,1.71,2.1,5.5,1.71,2.1
2023-12-27,Luka Doncic,10.5,1.71,2.1,36.5,1.91,1.83,9.5,1.77,2.0
2024-01-25,Collin Sexton,5.5,1.87,1.87,22.5,1.83,1.91,2.5,1.6,2.3
2024-01-25,Deni Avdija,3.5,1.62,2.24,14.5,1.91,1.83,5.5,1.69,2.14
2024-01-25,Jordan Poole,2.5,1.57,2.35,16.5,2.0,1.77,2.5,2.35,1.57
2024-01-25,Kris Dunn,5.5,2.1,1.71,,,,2.5,1.62,2.24
2024-01-25,Kyle Kuzma,4.5,1.74,2.05,20.5,1.77,2.0,6.5,1.74,2.05
2024-01-25,Tyus Jones,6.5,1.71,2.1,12.5,1.87,1.87,2.5,1.71,2.1
2024-01-25,Daniel Gafford,,,,10.5,1.91,1.83,6.5,1.8,1.95
2024-01-25,John Collins,,,,12.5,1.91,1.83,6.5,1.74,2.05
2024-01-25,Lauri Markkanen,,,,24.5,1.8,1.95,9.5,1.87,1.87
2024-01-25,Simone Fontecchio,,,,10.5,1.87,1.87,3.5,1.71,2.1
2023-12-21,Desmond Bane,5.5,2.14,1.69,24.5,1.83,1.91,4.5,1.83,1.91
2023-12-21,Ja Morant,9.5,1.91,1.83,28.5,1.83,1.91,6.5,2.14,1.69
