Date,Player,player_assists_line,player_assists_over,player_assists_under,player_points_line,player_points_over,player_points_under,player_rebounds_line,player_rebounds_over,player_rebounds_under
2023-12-25,Josh Hart,2.5,2.1,1.71,6.5,1.8,1.95,4.5,1.69,2.14
2023-12-25,Julius Randle,4.5,2.1,1.71,24.5,1.69,2.14,8.5,1.67,2.2
2023-12-25,Khris Middleton,4.5,1.83,1.91,16.5,1.95,1.8,4.5,1.95,1.8
2023-12-25,RJ Barrett,2.5,2.2,1.67,17.5,1.74,2.05,4.5,2.1,1.71
2023-12-25,Bobby Portis,,,,12.5,1.77,2.0,7.5,1.74,2.05
2023-12-25,Brook Lopez,,,,12.5,1.83,1.91,4.5,1.71,2.1
2023-12-25,Isaiah Hartenstein,,,,8.5,1.95,1.8,9.5,1.74,2.05
2023-12-25,Malik Beasley,,,,10.5,1.91,1.83,3.5,1.8,1.95
2023-12-25,Pat Connaughton,,,,,,,3.5,2.24,1.62
2023-12-25,Aaron Gordon,2.5,1.57,2.35,14.5,1.91,1.83,5.5,1.71,2.1
2023-12-25,Brandin Podziemski,3.5,1.8,1.95,10.5,1.77,2.0,5.5,1.83,1.91
2023-12-25,Chris Paul,7.5,1.77,2.0,7.5,1.83,1.91,3.5,2.2,1.67
2023-12-25,Jamal Murray,6.5,1.77,2.0,21.5,1.8,1.95,3.5,1.74,2.05
2023-12-25,Kevon Looney,2.5,2.05,1.74,,,,6.5,1.91,1.83
2023-12-25,Nikola Jokic,9.5,1.87,1.87,27.5,1.67,2.2,12.5,1.77,2.0
2023-12-25,Reggie Jackson,3.5,2.0,1.77,7.5,1.91,1.83,,,
2023-12-25,Stephen Curry,4.5,1.56,2.4,28.5,1.74,2.05,4.5,2.0,1.77
2023-12-25,Christian Braun,,,,6.5,1.95,1.8,2.5,1.69,2.14
2023-12-25,Dario Saric,,,,8.5,1.8,1.95,4.5,1.71,2.1
2023-12-25,Jonathan Kuminga,,,,12.5,1.77,2.0,4.5,1.95,1.8
2023-12-25,Kentavious Caldwell-Pope,,,,8.5,1.8,1.95,2.5,2.14,1.69
2023-12-25,Klay Thompson,,,,20.5,1.95,1.8,3.5,1.95,1.8
2023-12-25,Michael Porter Jr.,,,,15.5,1.83,1.91,6.5,1.87,1.87
2023-12-25,Peyton Watson,,,,,,,2.5,1.71,2.1
2023-12-28,Bojan Bogdanovic,2.5,2.2,1.67,17.5,1.83,1.91,2.5,1.6,2.3
2023-12-28,Cade Cunningham,6.5,1.87,1.87,23.5,1.8,1.95,3.5,1.62,2.24
2023-12-28,Jayson Tatum,4.5,2.0,1.77,27.5,1.71,2.1,8.5,1.77,2.0
2023-12-19,Damian Lillard,7.5,1.74,2.05,26.5,1.8,1.95,4.5,1.83,1.91
2023-12-19,Devin Vassell,3.5,1.91,1.83,19.5,1.83,1.91,4.5,2.14,1.69
2023-12-19,Giannis Antetokounmpo,4.5,1.67,2.2,32.5,1.71,2.1,12.5,2.0,1.77
2023-12-19,Jeremy Sochan,3.5,2.05,1.74,10.5,1.91,1.83,6.5,2.1,1.71
2023-12-19,Keldon Johnson,3.5,1.74,2.05,19.5,1.95,1.8,6.5,1.91,1.83
2023-12-19,Khris Middleton,4.5,1.8,1.95,15.5,1.91,1.83,4.5,1.69,2.14
2023-12-19,Malaki Branham,2.5,1.67,2.2,11.5,1.87,1.87,2.5,1.6,2.3
2023-12-19,Zach Collins,3.5,1.95,1.8,12.5,1.87,1.87,6.5,1.71,2.1
2023-12-19,Brook Lopez,,,,12.5,1.8,1.95,5.5,1.87,1.87
2023-12-29,Cameron Johnson,2.5,2.35,1.57,15.5,1.95,1.8,4.5,1.83,1.91
2023-12-29,Cameron Thomas,2.5,2.0,1.77,21.5,1.74,2.05,3.5,2.35,1.57
2023-12-29,Deni Avdija,3.5,1.95,1.8,9.5,1.87,1.87,5.5,1.91,1.83
2023-12-29,Jordan Poole,3.5,1.91,1.83,19.5,1.87,1.87,2.5,1.87,1.87
2023-12-29,Kyle Kuzma,3.5,1.67,2.2,21.5,1.83,1.91,5.5,1.56,2.4
2023-12-29,Mikal Bridges,3.5,1.74,2.05,22.5,1.91,1.83,4.5,1.67,2.2
2023-12-29,Spencer Dinwiddie,7.5,2.05,1.74,14.5,1.83,1.91,3.5,1.77,2.0
2023-12-29,Tyus Jones,5.5,1.74,2.05,12.5,1.77,2.0,2.5,1.62,2.24
2023-12-29,Daniel Gafford,,,,11.5,1.8,1.95,7.5,1.74,2.05
2023-12-29,Nicolas Claxton,,,,12.5,1.87,1.87,10.5,1.62,2.24
2023-12-25,Anthony Davis,3.5,2.35,1.57,27.5,1.74,2.05,13.5,1.83,1.91
2023-12-25,Austin Reaves,4.5,1.69,2.14,14.5,1.62,2.24,3.5,1.69,2.14
2023-12-25,Derrick White,4.5,1.83,1.91,16.5,1.95,1.8,3.5,1.77,2.0
2023-12-25,Jaylen Brown,3.5,1.6,2.3,23.5,1.83,1.91,4.5,1.53,2.45
2023-12-25,Jayson Tatum,4.5,1.91,1.83,28.5,1.95,1.8,8.5,1.74,2.05
2023-12-25,Jrue Holiday,4.5,1.87,1.87,12.5,1.87,1.87,5.5,1.87,1.87
2023-12-25,LeBron James,8.5,1.87,1.87,27.5,1.83,1.91,7.5,1.62,2.24
2023-12-25,Cam Reddish,,,,8.5,1.95,1.8,2.5,1.74,2.05
2023-12-25,Kristaps Porzingis,,,,17.5,1.91,1.83,7.5,2.05,1.74
2023-12-25,Rui Hachimura,,,,10.5,1.87,1.87,3.5,1.69,2.14
2023-12-25,Taurean Prince,,,,9.5,1.95,1.8,3.5,1.95,1.8
2023-12-25,Jarred Vanderbilt,,,,,,,5.5,1.87,1.87
2023-12-19,Derrick White,4.5,1.87,1.87,15.5,1.95,1.8,4.5,2.2,1.67
2023-12-19,Jaylen Brown,3.5,1.57,2.35,23.5,1.83,1.91,4.5,1.57,2.35
2023-12-19,Jayson Tatum,4.5,1.95,1.8,28.5,1.71,2.1,9.5,2.0,1.77
2023-12-19,Jrue Holiday,4.5,2.1,1.71,12.5,1.83,1.91,5.5,1.77,2.0
2023-12-19,Klay Thompson,2.5,2.35,1.57,19.5,1.95,1.8,4.5,2.14,1.69
2023-12-19,Stephen Curry,5.5,1.83,1.91,28.5,1.95,1.8,4.5,1.69,2.14
2023-12-19,Kristaps Porzingis,,,,18.5,1.8,1.95,7.5,1.95,1.8
2023-12-23,Franz Wagner,4.5,1.71,2.1,22.5,1.95,1.8,5.5,1.87,1.87
2023-12-23,Paolo Banchero,4.5,2.05,1.74,22.5,1.69,2.14,7.5,1.95,1.8
